SampleID,Genus,log10Abund,Abundance,Temp_group
W29A,Clostridium,3.306853749,2026,20-25
W30E,Clostridium,2.939019776,868,20-25
W31A,Clostridium,2.260071388,181,20-25
W32E,Clostridium,2.632457292,428,20-25
W23A,Clostridium,2.785329835,609,25-30
W24E,Clostridium,3.164650216,1460,25-30
W17A,Clostridium,2.932473765,855,25-30
W20E,Clostridium,3.628593256,4251,25-30
W09A,Clostridium,2.549003262,353,30-35
W10E,Clostridium,0,0,30-35
W11A,Clostridium,0,0,30-35
W12E,Clostridium,1.380211242,23,30-35
W13A,Clostridium,1.812913357,64,30-35
W14E,Clostridium,1.255272505,17,30-35
W15A,Clostridium,2.416640507,260,30-35
W16E,Clostridium,1.755874856,56,30-35
W03A,Clostridium,0,0,30-35
W04E,Clostridium,0,0,30-35
W25A,Clostridium,1.602059991,39,35-40
W26E,Clostridium,2.51851394,329,35-40
W27A,Clostridium,1.414973348,25,35-40
W28E,Clostridium,3.342422681,2199,35-40
W06E,Clostridium,0,0,35-40
W07A,Clostridium,0,0,35-40
S10A,Clostridium,2.910624405,813,35-40
S11E,Clostridium,3.507045872,3213,35-40
S12A,Clostridium,2.117271296,130,35-40
S13E,Clostridium,3.363047595,2306,35-40
S06A,Clostridium,3.169380495,1476,35-40
S07E,Clostridium,2.621176282,417,35-40
S08A,Clostridium,3.450403086,2820,35-40
S09E,Clostridium,3.064457989,1159,35-40
S01A,Clostridium,3.340245762,2188,35-40
S02E,Clostridium,3.78490245,6093,35-40
S04A,Clostridium,3.495544338,3129,35-40
S05E,Clostridium,4.123492301,13288,35-40
S18A,Clostridium,5.042402233,110255,40-45
S19E,Clostridium,5.078413314,119787,40-45
S20A,Clostridium,4.983342076,96236,40-45
S21E,Clostridium,5.090466154,123158,40-45
S34A,Clostridium,3.799340549,6299,40-45
S35E,Clostridium,3.579783597,3799,40-45
S36A,Clostridium,3.650307523,4469,40-45
S37E,Clostridium,4.050766311,11239,40-45
S26A,Clostridium,3.364738555,2315,40-45
S27E,Clostridium,4.077367905,11949,40-45
S14A,Clostridium,4.94141204,87379,40-45
S15E,Clostridium,4.832891945,68059,40-45
S16A,Clostridium,4.854870561,71592,40-45
S17E,Clostridium,5.248982992,177411,40-45
S30A,Clostridium,4.09805504,12532,45+
S31E,Clostridium,4.411198674,25774,45+
S32A,Clostridium,3.829625353,6754,45+
S33E,Clostridium,4.401779521,25221,45+
S24A,Clostridium,1.707570176,50,45+
S25E,Clostridium,2.719331287,523,45+
W29A,Ignatz,2.103803721,126,20-25
W30E,Ignatz,2.206825876,160,20-25
W31A,Ignatz,0,0,20-25
W32E,Ignatz,4.52599015,33572,20-25
W23A,Ignatz,2.303196057,200,25-30
W24E,Ignatz,2.600972896,398,25-30
W17A,Ignatz,0,0,25-30
W20E,Ignatz,0,0,25-30
W09A,Ignatz,5.043990666,110659,30-35
W10E,Ignatz,5.147283582,140372,30-35
W11A,Ignatz,4.686663077,48602,30-35
W12E,Ignatz,4.653955005,45076,30-35
W13A,Ignatz,4.841847308,69477,30-35
W14E,Ignatz,4.769015263,58750,30-35
W15A,Ignatz,5.179344935,151127,30-35
W16E,Ignatz,4.9148454,82194,30-35
W03A,Ignatz,4.725290768,53123,30-35
W04E,Ignatz,4.631098632,42765,30-35
W25A,Ignatz,0,0,35-40
W26E,Ignatz,0,0,35-40
W27A,Ignatz,1.832508913,67,35-40
W28E,Ignatz,1.892094603,77,35-40
W06E,Ignatz,4.982574229,96066,35-40
W07A,Ignatz,4.552680381,35700,35-40
S10A,Ignatz,2.921166051,833,35-40
S11E,Ignatz,3.174641193,1494,35-40
S12A,Ignatz,3.169086357,1475,35-40
S13E,Ignatz,2.305351369,201,35-40
S06A,Ignatz,3.823930455,6666,35-40
S07E,Ignatz,3.379668034,2396,35-40
S08A,Ignatz,3.58591171,3853,35-40
S09E,Ignatz,3.228400359,1691,35-40
S01A,Ignatz,5.030453988,107263,35-40
S02E,Ignatz,4.427551021,26763,35-40
S04A,Ignatz,4.763727404,58039,35-40
S05E,Ignatz,4.724939096,53080,35-40
S18A,Ignatz,2.505149978,319,40-45
S19E,Ignatz,2.309630167,203,40-45
S20A,Ignatz,2.635483747,431,40-45
S21E,Ignatz,2.053078443,112,40-45
S34A,Ignatz,3.015359755,1035,40-45
S35E,Ignatz,0,0,40-45
S36A,Ignatz,0,0,40-45
S37E,Ignatz,0,0,40-45
S26A,Ignatz,3.074450719,1186,40-45
S27E,Ignatz,3.160168293,1445,40-45
S14A,Ignatz,2.828015064,672,40-45
S15E,Ignatz,2.665580991,462,40-45
S16A,Ignatz,2.396199347,248,40-45
S17E,Ignatz,2.255272505,179,40-45
S30A,Ignatz,2.64738297,443,45+
S31E,Ignatz,2.292256071,195,45+
S32A,Ignatz,1.806179974,63,45+
S33E,Ignatz,1.579783597,37,45+
S24A,Ignatz,2.40654018,254,45+
S25E,Ignatz,2.523746467,333,45+